VariableCode,VariableTable,VariableMeasurementUnit,VariableStatisticalUnit,VariableSubDomain,VariableDomain,VariableName,VariableClustered,variable_short
RM2018_30,Tenure,Count,Household,Housing_Ownership,Housing,Households who are private renting,% Households who are private renting,pr
RM2018_31,Tenure,Count,Household,Housing_Ownership,Housing,Households who are in a Reside home,% Households who are private renting,reside
RM2018_33,Health and Provision of Unpaid Care,Count,Person_census,Population Health and Care,Socio-Economic,Persons providing unpaid care,% Persons providing unpaid care,unpaidcare
RM2018_34,Qualifications and Students,Count,Person_16_Over_census,Population Education,Socio-Economic,"Persons aged over 16 whose highest level of qualification is Level 1, Level 2 or Apprenticeship","% Persons aged over 16 whose highest level of qualification is Level 1, Level 2 or Apprenticeship",ed1_2_app
RM2018_35,Qualifications and Students,Count,Person_16_Over_census,Population Education,Socio-Economic,Persons aged over 16 whose highest level of qualification is Level 3 qualifications,% Persons aged over 16 whose highest level of qualification is Level 3 qualifications,ed3
RM2018_36,Qualifications and Students,Count,Person_16_Over_census,Population Education,Socio-Economic,Persons aged over 16 whose highest level of qualification is Level 4 qualifications and above,% Persons aged over 16 whose highest level of qualification is Level 4 qualifications and above,ed4plus
RM2018_40,Benefits Received,Count,Household,Benefits,Socio-Economic,Households Receiving Housing Benefit,% Households Receiving Housing Benefit,HB
RM2018_41,Benefits Received,Count,Household,Benefits,Socio-Economic,Households Reciving Council Tax Relief,% Households Reciving Council Tax Relief,CT
RM2018_42,Benefits Received,Count,Household,Benefits,Socio-Economic,Housholds Receiving Council Tax and Housing Benefit,% Housholds Receiving Council Tax and Housing Benefit,HB_CT
RM2018_43,Free school Meals,Count,Person_school_Census,Deprivation,Socio-Economic,Persons on school Census eligible for free school meals,% PLASC pupils eleigible for frr school meals,FSM
